Timestamp(ms),Current(uA),D0-D7
8020,19238.914,00000000
8030,19237.779,00000000
8040,19228.109,00000000
8050,19222.572,00000000
8060,19223.529,00000000
8070,19240.355,00000000
8080,19232.621,00000000
8090,19228.123,00000000
8100,19213.557,00000000
8110,19227.412,00000000
8120,19235.346,00000000
8130,19231.053,00000000
8140,19220.242,00000000
8150,19228.898,00000000
8160,19212.004,00000000
8170,19220.945,00000000
8180,19216.432,00000000
8190,19208.602,00000000
8200,19224.102,00000000
8210,19214.725,00000000
8220,19232.512,00000000
8230,19236.574,00000000
8240,19245.871,00000000
8250,19238.715,00000000
8260,19238.758,00000000
8270,19242.264,00000000
8280,19237.816,00000000
8290,19240.266,00000000
8300,19238.174,00000000
8310,19232.740,00000000
8320,19247.400,00000000
8330,19244.082,00000000
8340,19241.121,00000000
8350,19241.502,00000000
8360,19227.373,00000000
8370,19225.986,00000000
8380,19221.666,00000000
8390,19240.451,00000000
8400,19236.252,00000000
8410,19231.629,00000000
8420,19238.135,00000000
8430,19231.469,00000000
8440,19211.727,00000000
8450,19213.432,00000000
8460,19225.383,00000000
8470,19225.143,00000000
8480,19242.559,00000000
8490,19238.137,00000000
8500,19235.438,00000000
8510,19244.355,00000000
8520,19240.303,00000000
8530,19235.908,00000000
8540,19249.857,00000000
8550,19241.721,00000000
8560,19241.898,00000000
8570,19232.857,00000000
8580,19241.000,00000000
8590,19241.096,00000000
8600,19235.145,00000000
8610,19234.258,00000000
8620,19221.242,00000000
8630,19218.779,00000000
8640,19219.510,00000000
8650,19227.027,00000000
8660,19242.088,00000000
8670,19249.922,00000000
8680,19233.604,00000000
8690,19229.977,00000000
8700,19230.240,00000000
8710,19235.264,00000000
8720,19238.924,00000000
8730,19222.678,00000000
8740,19233.576,00000000
8750,19225.035,00000000
8760,19213.438,00000000
8770,19237.916,00000000
8780,19240.264,00000000
8790,19243.348,00000000
8800,19245.869,00000000
8810,19235.719,00000000
8820,19240.316,00000000
8830,19228.094,00000000
8840,19245.012,00000000
8850,19262.121,00000000
8860,19261.758,00000000
8870,19260.729,00000000
8880,19244.859,00000000
8890,19237.033,00000000
8900,19237.482,00000000
8910,19245.291,00000000
8920,19255.521,00000000
8930,19241.754,00000000
8940,19235.859,00000000
8950,19234.268,00000000
8960,19246.564,00000000
8970,19245.225,00000000
8980,19235.457,00000000
8990,19241.879,00000000
9000,19227.662,00000000
9010,19231.406,00000000
9020,19234.713,00000000
9030,19237.906,00000000
9040,19233.393,00000000
9050,19243.270,00000000
9060,19224.869,00000000
9070,19230.518,00000000
9080,19222.506,00000000
9090,19241.443,00000000
9100,19246.012,00000000
9110,19245.787,00000000
9120,19234.893,00000000
9130,19231.143,00000000
9140,19238.346,00000000
9150,19236.824,00000000
9160,19240.738,00000000
9170,19236.766,00000000
9180,19254.389,00000000
9190,19251.250,00000000
9200,19239.619,00000000
9210,19224.789,00000000
9220,19206.180,00000000
9230,19225.861,00000000
9240,19232.100,00000000
9250,19225.299,00000000
9260,19216.561,00000000
9270,19222.869,00000000
9280,19234.994,00000000
9290,19230.938,00000000
9300,19239.223,00000000
9310,19235.104,00000000
9320,19243.100,00000000
9330,19239.633,00000000
9340,19233.842,00000000
9350,19233.770,00000000
9360,19239.490,00000000
9370,19226.174,00000000
9380,19221.311,00000000
9390,19223.346,00000000
9400,19235.893,00000000
9410,19239.947,00000000
9420,19233.404,00000000
9430,19232.994,00000000
9440,19238.895,00000000
